1786267722866 hpa=[2 67] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:62Mi mem-lab-848f946569-svwnf:65Mi ]
1786267731017 hpa=[2 49] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:63Mi mem-lab-848f946569-svwnf:65Mi ]
1786267739165 hpa=[2 50] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:63Mi mem-lab-848f946569-svwnf:65Mi ]
1786267747318 hpa=[2 50] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:63Mi mem-lab-848f946569-svwnf:65Mi ]
1786267755470 hpa=[2 50] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:63Mi mem-lab-848f946569-svwnf:65Mi ]
1786267763604 hpa=[2 50] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:63Mi mem-lab-848f946569-svwnf:66Mi ]
1786267771748 hpa=[2 50] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:63Mi mem-lab-848f946569-svwnf:66Mi ]
1786267779906 hpa=[2 50] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:63Mi mem-lab-848f946569-svwnf:66Mi ]
1786267788043 hpa=[2 50] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:63Mi mem-lab-848f946569-svwnf:66Mi ]
1786267796205 hpa=[2 50] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:63Mi mem-lab-848f946569-svwnf:66Mi ]
1786267804360 hpa=[2 50] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:63Mi mem-lab-848f946569-svwnf:66Mi ]
1786267812496 hpa=[2 50] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:63Mi mem-lab-848f946569-svwnf:66Mi ]
1786267820655 hpa=[2 50] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:58Mi mem-lab-848f946569-svwnf:64Mi ]
1786267828796 hpa=[2 50] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:58Mi mem-lab-848f946569-svwnf:64Mi ]
1786267836955 hpa=[2 48] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:59Mi mem-lab-848f946569-svwnf:62Mi ]
1786267845109 hpa=[2 47] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:59Mi mem-lab-848f946569-svwnf:62Mi ]
1786267853234 hpa=[2 47] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:59Mi mem-lab-848f946569-svwnf:63Mi ]
1786267861363 hpa=[2 48] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:59Mi mem-lab-848f946569-svwnf:63Mi ]
1786267869500 hpa=[2 48] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:59Mi mem-lab-848f946569-svwnf:63Mi ]
1786267877654 hpa=[2 48] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:59Mi mem-lab-848f946569-svwnf:63Mi ]
1786267885789 hpa=[2 48] deploy=[2 2] mem=[mem-lab-848f946569-9zkm6:59Mi mem-lab-848f946569-svwnf:63Mi ]
